id,name,slug,generation,cost,category,fling_power,effect,short_effect,sprite,sourceUrl
206,everstone,everstone,,3000,training,30,"Held: Prevents the holder from evolving naturally.  Evolution initiated by the trainer (Stones, etc) will still work.",Held: Prevents level-based evolution from occuring.,images/items/everstone.png,https://pokeapi.co/api/v2/item/206/
207,focus-band,focus_band,,4000,held-items,10,"Held: If the holder is attacked for regular damage that would faint it, this item has a 10% chance to prevent the holder’s HP from lowering below 1.",Held: Holder has 10% chance to survive attacks or self-inflicted damage at 1 HP.,images/items/focus_band.png,https://pokeapi.co/api/v2/item/207/
208,lucky-egg,lucky_egg,,10000,training,30,Held: Increases any Exp the holder gains by 50%.,Held: Increases EXP earned in battle by 50%.,images/items/lucky_egg.png,https://pokeapi.co/api/v2/item/208/
209,scope-lens,scope_lens,,4000,held-items,30,Held: Raises the holder’s critical hit counter by 1.,Held: Raises the holder’s critical hit ratio by one stage.,images/items/scope_lens.png,https://pokeapi.co/api/v2/item/209/
210,metal-coat,metal_coat,,2000,type-enhancement,30,"Held: Increases the power of the holder’s Steel moves by 20%.
Held by Onix or Scyther: Evolves the holder into Steelix or Scizor when traded, respectively.",Held: Steel-Type moves from holder do 20% more damage.,images/items/metal_coat.png,https://pokeapi.co/api/v2/item/210/
211,leftovers,leftovers,,4000,held-items,10,Held: Heals the holder by 1/16 its max HP at the end of each turn.,Held: Restores 1/16 (6.25%) holder’s max HP at the end of each turn.,images/items/leftovers.png,https://pokeapi.co/api/v2/item/211/
212,dragon-scale,dragon_scale,,2000,evolution,30,Held by Seadra: Evolves the holder into Kingdra when traded.,Traded on a Seadra: Holder evolves into Kingdra.,images/items/dragon_scale.png,https://pokeapi.co/api/v2/item/212/
213,light-ball,light_ball,,1000,species-specific,30,Held by Pikachu: Doubles the holder’s initial Attack and Special Attack.,Doubles Pikachu’s Attack and Special Attack. Breed on Pikachu or Raichu: Pichu Egg will have Volt Tackle.,images/items/light_ball.png,https://pokeapi.co/api/v2/item/213/
214,soft-sand,soft_sand,,1000,type-enhancement,10,Held: Increases the power of the holder’s Ground moves by 20%.,Held: Ground-Type moves from holder do 20% more damage.,images/items/soft_sand.png,https://pokeapi.co/api/v2/item/214/
215,hard-stone,hard_stone,,1000,type-enhancement,100,Held: Increases the power of the holder’s Rock moves by 20%.,Held: Rock-Type moves from holder do 20% more damage.,images/items/hard_stone.png,https://pokeapi.co/api/v2/item/215/
216,miracle-seed,miracle_seed,,1000,type-enhancement,30,Held: Increases the power of the holder’s Grass moves by 20%.,Held: Grass-Type moves from holder do 20% more damage.,images/items/miracle_seed.png,https://pokeapi.co/api/v2/item/216/
217,black-glasses,black_glasses,,1000,type-enhancement,30,Held: Increases the power of the holder’s Dark moves by 20%.,Held: Dark-Type moves from holder do 20% more damage.,images/items/black_glasses.png,https://pokeapi.co/api/v2/item/217/
218,black-belt,black_belt,,1000,type-enhancement,30,Held: Increases the power of the holder’s Fighting moves by 20%.,Held: Fighting-Type moves from holder do 20% more damage.,images/items/black_belt.png,https://pokeapi.co/api/v2/item/218/
219,magnet,magnet,,1000,type-enhancement,30,Held: Increases the power of the holder’s Electric moves by 20%.,Held: Electric-Type moves from holder do 20% more damage.,images/items/magnet.png,https://pokeapi.co/api/v2/item/219/
220,mystic-water,mystic_water,,1000,type-enhancement,30,Held: Increases the power of the holder’s Water moves by 20%.,Held: Water-Type moves from holder do 20% more damage.,images/items/mystic_water.png,https://pokeapi.co/api/v2/item/220/
221,sharp-beak,sharp_beak,,1000,type-enhancement,50,Held: Increases the power of the holder’s Flying moves by 20%.,Held: Flying-Type moves from holder do 20% more damage.,images/items/sharp_beak.png,https://pokeapi.co/api/v2/item/221/
222,poison-barb,poison_barb,,1000,type-enhancement,70,Held: Increases the power of the holder’s Poison moves by 20%.,Held: Poison-Type moves from holder do 20% more damage.,images/items/poison_barb.png,https://pokeapi.co/api/v2/item/222/
223,never-melt-ice,never_melt_ice,,1000,type-enhancement,30,Held: Increases the power of the holder’s Ice moves by 20%.,Held: Ice-Type moves from holder do 20% more damage.,images/items/never_melt_ice.png,https://pokeapi.co/api/v2/item/223/
224,spell-tag,spell_tag,,1000,type-enhancement,30,Held: Increases the power of the holder’s Ghost moves by 20%.,Held: Ghost-Type moves from holder do 20% more damage.,images/items/spell_tag.png,https://pokeapi.co/api/v2/item/224/
225,twisted-spoon,twisted_spoon,,1000,type-enhancement,30,Held: Increases the power of the holder’s Psychic moves by 20%.,Held: Psychic-Type moves from holder do 20% more damage.,images/items/twisted_spoon.png,https://pokeapi.co/api/v2/item/225/
226,charcoal,charcoal,,1000,type-enhancement,30,Held: Increases the power of the holder’s Fire moves by 20%.,Held: Fire-Type moves from holder do 20% more damage.,images/items/charcoal.png,https://pokeapi.co/api/v2/item/226/
227,dragon-fang,dragon_fang,,1000,type-enhancement,70,Held: Increases the power of the holder’s Dragon moves by 20%.,Held: Dragon-Type moves from holder do 20% more damage.,images/items/dragon_fang.png,https://pokeapi.co/api/v2/item/227/
228,silk-scarf,silk_scarf,,1000,type-enhancement,10,Held: Increases the power of the holder’s Normal moves by 20%.,Held: Normal-Type moves from holder do 20% more damage.,images/items/silk_scarf.png,https://pokeapi.co/api/v2/item/228/
229,up-grade,up_grade,,2000,evolution,30,Held by Porygon: Evolves the holder into Porygon2 when traded.,Traded on a Porygon: Holder evolves into Porygon2.,images/items/up_grade.png,https://pokeapi.co/api/v2/item/229/
230,shell-bell,shell_bell,,4000,held-items,30,Held: Heals the holder by 1/8 of any damage it inflicts.,Held: Holder receives 1/8 of the damage it deals when attacking.,images/items/shell_bell.png,https://pokeapi.co/api/v2/item/230/
231,sea-incense,sea_incense,,2000,type-enhancement,10,Held: Increases the power of the holder’s Water moves by 20%.,Held: Water-Type moves from holder do 20% more damage. Breeding: Marill or Azumarill beget an Azurill Egg.,images/items/sea_incense.png,https://pokeapi.co/api/v2/item/231/
232,lax-incense,lax_incense,,5000,held-items,10,Held: Increases the holder’s Evasion by 5%.,Held: Holder’s evasion is increased by 5%. Breeding: Wobbuffet begets a Wynaut Egg.,images/items/lax_incense.png,https://pokeapi.co/api/v2/item/232/
233,lucky-punch,lucky_punch,,1000,species-specific,40,Held by Chansey: Raises the holder’s critical hit counter by 2.,Raises Chansey’s critical hit ratio by two stages.,images/items/lucky_punch.png,https://pokeapi.co/api/v2/item/233/
234,metal-powder,metal_powder,,1000,species-specific,10,Held by Ditto: Increases the holder’s initial Defense and Special Defense by 50%.,Raises Ditto’s Defense and Special Defense by 50%. The boost is lost after transforming.,images/items/metal_powder.png,https://pokeapi.co/api/v2/item/234/
235,thick-club,thick_club,,1000,species-specific,90,Held by Cubone or Marowak: Doubles the holder’s Attack.,Doubles Cubone or Marowak’s Attack.,images/items/thick_club.png,https://pokeapi.co/api/v2/item/235/
236,stick,stick,,1000,species-specific,60,Held by Farfetch’d: Raises the holder’s critical hit counter by 2.,Raises Farfetch’d’s critical hit ratio by two stages.,images/items/stick.png,https://pokeapi.co/api/v2/item/236/
237,red-scarf,red_scarf,,100,scarves,10,Held: Increases the holder’s Coolness during a Super Contest’s Visual Competition.,Raises the holder’s Coolness while in a contest.,images/items/red_scarf.png,https://pokeapi.co/api/v2/item/237/
238,blue-scarf,blue_scarf,,100,scarves,10,Held: Increases the holder’s Beauty during a Super Contest’s Visual Competition.,Raises the holder’s Beauty while in a contest.,images/items/blue_scarf.png,https://pokeapi.co/api/v2/item/238/
239,pink-scarf,pink_scarf,,100,scarves,10,Held: Increases the holder’s Cuteness during a Super Contest’s Visual Competition.,Raises the holder’s Cuteness while in a contest.,images/items/pink_scarf.png,https://pokeapi.co/api/v2/item/239/
240,green-scarf,green_scarf,,100,scarves,10,Held: Increases the holder’s Smartness during a Super Contest’s Visual Competition.,Raises the holder’s Smartness while in a contest.,images/items/green_scarf.png,https://pokeapi.co/api/v2/item/240/
241,yellow-scarf,yellow_scarf,,100,scarves,10,Held: Increases the holder’s Toughness during a Super Contest’s Visual Competition.,Raises the holder’s Toughness while in a contest.,images/items/yellow_scarf.png,https://pokeapi.co/api/v2/item/241/
242,wide-lens,wide_lens,,4000,held-items,10,Held: Increases the accuracy of any move the holder uses by 10% (multiplied; i.e. 70% accuracy is increased to 77%).,Held: Provides a 1/10 (10%) boost in accuracy to the holder.,images/items/wide_lens.png,https://pokeapi.co/api/v2/item/242/
243,muscle-band,muscle_band,,4000,held-items,10,Held: Increases the power of the holder’s physical moves by 10%.,Held: Boosts the damage of physical moves used by the holder by 10%.,images/items/muscle_band.png,https://pokeapi.co/api/v2/item/243/
244,wise-glasses,wise_glasses,,4000,held-items,10,Held: Increases the power of the holder’s special moves by 10%.,Held: Boosts the damage of special moves used by the holder by 1/10 (10%).,images/items/wise_glasses.png,https://pokeapi.co/api/v2/item/244/
245,expert-belt,expert_belt,,4000,held-items,10,"Held: When the holder hits with a super-effective move, its power is raised by 20%.",Held: Holder’s Super Effective moves do 20% extra damage.,images/items/expert_belt.png,https://pokeapi.co/api/v2/item/245/
246,light-clay,light_clay,,4000,held-items,30,"Held: The holder’s Reflect and Light Screen will create effects lasting for eight turns rather than five.  As this item affects the move rather than the barrier itself, the effect is not lost if the holder leaves battle or drops this item.",Held: Light Screen and Reflect used by the holder last 8 rounds instead of 5.,images/items/light_clay.png,https://pokeapi.co/api/v2/item/246/
247,life-orb,life_orb,,4000,held-items,30,"Held: Damage from the holder’s moves is increased by 30%.  On each turn the holder uses a damage-inflicting move, it takes 10% its max HP in damage.","Held: Holder’s moves inflict 30% extra damage, but cost 10% max HP.",images/items/life_orb.png,https://pokeapi.co/api/v2/item/247/
248,power-herb,power_herb,,4000,held-items,10,"Held: Whenever the holder uses a move that requires a turn to charge first (Bounce, Dig, Dive, Fly, Razor Wind, Skull Bash, Sky Attack, or Solarbeam), this item is consumed and the charge is skipped.  Skull Bash still provides a Defense boost.",Held: Both turns of a two-turn charge move happen at once. Consumed upon use.,images/items/power_herb.png,https://pokeapi.co/api/v2/item/248/
249,toxic-orb,toxic_orb,,4000,bad-held-items,30,Held: Badly poisons the holder at the end of each turn.,Held: Inflicts Toxic on the holder at the end of the turn. Activates after Poison damage would occur.,images/items/toxic_orb.png,https://pokeapi.co/api/v2/item/249/
250,flame-orb,flame_orb,,4000,bad-held-items,30,Held: Burns the holder at the end of each turn.,Held: Inflicts Burn on the holder at the end of the turn. Activates after Burn damage would occur.,images/items/flame_orb.png,https://pokeapi.co/api/v2/item/250/
251,quick-powder,quick_powder,,1000,species-specific,10,Held by Ditto: Doubles the holder’s initial Speed.,Doubles Ditto’s Speed when held. The boost is lost after transforming.,images/items/quick_powder.png,https://pokeapi.co/api/v2/item/251/
252,focus-sash,focus_sash,,4000,held-items,10,"Held: If the holder has full HP and is attacked for regular damage that would faint it, this item is consumed and prevents the holder’s HP from lowering below 1.  This effect works against multi-hit attacks, but does not work against the effects of Doom Desire or Future Sight.","Held: Holder survives any single-hit attack at 1 HP if at max HP, then the item is consumed.",images/items/focus_sash.png,https://pokeapi.co/api/v2/item/252/
253,zoom-lens,zoom_lens,,4000,held-items,10,"Held: Raises the holder’s Accuracy by 20% when it goes last.
Ingame description is incorrect.",Held: Provides a 1/5 (20%) boost in accuracy if the holder moves after the target.,images/items/zoom_lens.png,https://pokeapi.co/api/v2/item/253/
254,metronome,metronome,,4000,held-items,30,"Held: Each time the holder uses the same move consecutively, its power is increased by another 10% of its original, to a maximum of 100%.",Held: Consectutive uses of the same attack have a cumulative damage boost of 10%. Maximum 100% boost.,images/items/metronome.png,https://pokeapi.co/api/v2/item/254/
255,iron-ball,iron_ball,,4000,bad-held-items,130,"Held: Decreases the holder’s Speed by 50%.  If the holder is Flying or has Levitate, it takes regular damage from Ground attacks and is suspectible to Spikes and Toxic Spikes.","Held: Holder’s Speed is halved. Negates all Ground-type immunities, and makes Flying-types take neutral damage from Ground-type moves. Arena Trap. Spikes, and Toxic Spikes affect the holder.",images/items/iron_ball.png,https://pokeapi.co/api/v2/item/255/
256,lagging-tail,lagging_tail,,4000,bad-held-items,10,"Held: The holder will go last within its move’s priority bracket, regardless of Speed.  If multiple Pokémon within the same priority bracket are subject to this effect, the slower Pokémon will go first.  The holder will move after Pokémon with Stall.  If the holder has Stall, Stall is ignored.  This item ignores Trick Room.",Held: Holder moves last in its priority bracket.,images/items/lagging_tail.png,https://pokeapi.co/api/v2/item/256/
257,destiny-knot,destiny_knot,,4000,held-items,10,"Held: When the holder becomes Attracted, the Pokémon it is Attracted to becomes Attracted back.",Held: Infatuates opposing Pokémon when holder is inflicted with infatuation.,images/items/destiny_knot.png,https://pokeapi.co/api/v2/item/257/
258,black-sludge,black_sludge,,4000,held-items,30,"Held: If the holder is Poison-type, restores 1/16 max HP at the end of each turn.  Otherwise, damages the holder by 1/16 its max HP at the end of each turn.",Held: Poison-type holder recovers 1/16 (6.25%) max HP each turn. Non-Poison-Types take 1/8 (12.5%) max HP damage.,images/items/black_sludge.png,https://pokeapi.co/api/v2/item/258/
259,icy-rock,icy_rock,,4000,held-items,40,"Held: The holder’s Hail will create a hailstorm lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item.",Held: Hail by the holder lasts 8 rounds instead of 5.,images/items/icy_rock.png,https://pokeapi.co/api/v2/item/259/
260,smooth-rock,smooth_rock,,4000,held-items,10,"Held: The holder’s Sandstorm will create a sandstorm lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item.",Held: Sandstorm by the holder lasts 8 rounds instead of 5.,images/items/smooth_rock.png,https://pokeapi.co/api/v2/item/260/
261,heat-rock,heat_rock,,4000,held-items,60,"Held: The holder’s Sunny Day will create sunshine lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item.",Held: Sunny Day by the holder lasts 8 rounds instead of 5.,images/items/heat_rock.png,https://pokeapi.co/api/v2/item/261/
262,damp-rock,damp_rock,,4000,held-items,60,"Held: The holder’s Rain Dance will create rain lasting for eight turns rather than five.  As this item affects the move rather than the weather itself, the effect is not lost if the holder leaves battle or drops this item.",Held: Rain Dance by the holder lasts 8 rounds instead of 5.,images/items/damp_rock.png,https://pokeapi.co/api/v2/item/262/
263,grip-claw,grip_claw,,4000,held-items,90,Held: Increases the duration of the holder’s multiturn (2-5 turn) moves by three turns.,Held: Holder’s multi-turn trapping moves last 5 turns.,images/items/grip_claw.png,https://pokeapi.co/api/v2/item/263/
264,choice-scarf,choice_scarf,,4000,choice,10,"Held: Increases the holder’s Speed by 50%, but restricts it to the first move it uses until it leaves battle or loses this item.  If this item is swapped for another Choice item via Trick or Switcheroo, the holder’s restriction is still lifted, but it will again be restricted to the next move it uses.
(Quirk: If the holder is switched in by U-Turn and it also knows U-Turn, U-Turn becomes its restricted move.)","Held: Increases Speed by 50%, but restricts the holder to only one move.",images/items/choice_scarf.png,https://pokeapi.co/api/v2/item/264/
265,sticky-barb,sticky_barb,,4000,bad-held-items,80,"Held: Damaged the holder for 1/8 its max HP.  When the holder is struck by a contact move, damages the attacker for 1/8 its max HP; if the attacker is not holding an item, it will take this item.","Held: Holder takes 1/8 (12.5%) its max HP at the end of each turn. When the holder is hit by a contact move, the attacking Pokémon takes 1/8 its max HP in damage and receive the item if not holding one.",images/items/sticky_barb.png,https://pokeapi.co/api/v2/item/265/
266,power-bracer,power_bracer,,3000,effort-training,70,"Held: Decreases the holder’s Speed by 50%.  Whenever the holder gains Attack effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect.","Held: Holder gains 4 Attack effort values, but has halved Speed in battle.",images/items/power_bracer.png,https://pokeapi.co/api/v2/item/266/
267,power-belt,power_belt,,3000,effort-training,70,"Held: Decreases the holder’s Speed by 50%.  Whenever the holder gains Defense effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect.","Held: Holder gains 4 Defense effort values, but has halved Speed in battle.",images/items/power_belt.png,https://pokeapi.co/api/v2/item/267/
268,power-lens,power_lens,,3000,effort-training,70,"Held: Decreases the holder’s Speed by 50%.  Whenever the holder gains Special Attack effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect.","Held: Holder gains 4 Special Attack effort values, but has halved Speed in battle.",images/items/power_lens.png,https://pokeapi.co/api/v2/item/268/
269,power-band,power_band,,3000,effort-training,70,"Held: Decreases the holder’s Speed by 50%.  Whenever the holder gains Special Defense effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect.","Held: Holder gains 4 Special Defense effort values, but has halved Speed in battle.",images/items/power_band.png,https://pokeapi.co/api/v2/item/269/
270,power-anklet,power_anklet,,3000,effort-training,70,"Held: Decreases the holder’s Speed by 50%.  Whenever the holder gains Speed effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect.","Held: Holder gains 4 Speed effort values, but has halved Speed in battle.",images/items/power_anklet.png,https://pokeapi.co/api/v2/item/270/
271,power-weight,power_weight,,3000,effort-training,70,"Held: Decreases the holder’s Speed by 50%.  Whenever the holder gains HP effort from battle, increases that effort by 4; this applies before the PokéRUS doubling effect.","Held: Holder gains 4 HP effort values, but has halved Speed in battle.",images/items/power_weight.png,https://pokeapi.co/api/v2/item/271/
272,shed-shell,shed_shell,,4000,held-items,10,Held: The holder is unaffected by any moves or abilities that would prevent it from actively leaving battle.,Held: Holder can bypass all trapping effects and switch out. Multi-turn moves still cannot be switched out of.,images/items/shed_shell.png,https://pokeapi.co/api/v2/item/272/
273,big-root,big_root,,4000,held-items,10,"Held: HP restored from Absorb, Aqua Ring, Drain Punch, Dream Eater, Giga Drain, Ingrain, Leech Life, Leech Seed, and Mega Drain is increased by 30%.  Damage inflicted is not affected.","Held: Increases HP recovered from draining moves, Ingrain, and Aqua Ring by 3/10 (30%).",images/items/big_root.png,https://pokeapi.co/api/v2/item/273/
274,choice-specs,choice_specs,,4000,choice,10,"Held: Increases the holder’s Special Attack by 50%, but restricts it to the first move it uses until it leaves battle or loses this item.  If this item is swapped for another Choice item via Trick or Switcheroo, the holder’s restriction is still lifted, but it will again be restricted to the next move it uses.
(Quirk: If the holder is switched in by U-Turn and it also knows U-Turn, U-Turn becomes its restricted move.)","Held: Increases Special Attack by 50%, but restricts the holder to only one move.",images/items/choice_specs.png,https://pokeapi.co/api/v2/item/274/
275,flame-plate,flame_plate,,1000,plates,90,"Held: Increases the power of the holder’s Fire moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Fire.",Held: Fire-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Fire.,images/items/flame_plate.png,https://pokeapi.co/api/v2/item/275/
276,splash-plate,splash_plate,,1000,plates,90,"Held: Increases the power of the holder’s Water moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Water.",Held: Water-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Water.,images/items/splash_plate.png,https://pokeapi.co/api/v2/item/276/
277,zap-plate,zap_plate,,1000,plates,90,"Held: Increases the power of the holder’s Electric moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Electric.",Held: Electric-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Electric.,images/items/zap_plate.png,https://pokeapi.co/api/v2/item/277/
278,meadow-plate,meadow_plate,,1000,plates,90,"Held: Increases the power of the holder’s Grass moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Grass.",Held: Grass-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Grass.,images/items/meadow_plate.png,https://pokeapi.co/api/v2/item/278/
279,icicle-plate,icicle_plate,,1000,plates,90,"Held: Increases the power of the holder’s Ice moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Ice.",Held: Ice-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Ice.,images/items/icicle_plate.png,https://pokeapi.co/api/v2/item/279/
280,fist-plate,fist_plate,,1000,plates,90,"Held: Increases the power of the holder’s Fighting moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Fighting.",Held: Fighting-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Fighting.,images/items/fist_plate.png,https://pokeapi.co/api/v2/item/280/
281,toxic-plate,toxic_plate,,1000,plates,90,"Held: Increases the power of the holder’s Poison moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Poison.",Held: Posion-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Posion.,images/items/toxic_plate.png,https://pokeapi.co/api/v2/item/281/
282,earth-plate,earth_plate,,1000,plates,90,"Held: Increases the power of the holder’s Ground moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Ground.",Held: Ground-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Ground.,images/items/earth_plate.png,https://pokeapi.co/api/v2/item/282/
283,sky-plate,sky_plate,,1000,plates,90,"Held: Increases the power of the holder’s Flying moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Flying.",Held: Flying-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Flying.,images/items/sky_plate.png,https://pokeapi.co/api/v2/item/283/
284,mind-plate,mind_plate,,1000,plates,90,"Held: Increases the power of the holder’s Psychic moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Psychic.",Held: Psychic-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Psychic.,images/items/mind_plate.png,https://pokeapi.co/api/v2/item/284/
285,insect-plate,insect_plate,,1000,plates,90,"Held: Increases the power of the holder’s Bug moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Bug.",Held: Bug-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Bug.,images/items/insect_plate.png,https://pokeapi.co/api/v2/item/285/
286,stone-plate,stone_plate,,1000,plates,90,"Held: Increases the power of the holder’s Rock moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Rock.",Held: Rock-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Rock.,images/items/stone_plate.png,https://pokeapi.co/api/v2/item/286/
287,spooky-plate,spooky_plate,,1000,plates,90,"Held: Increases the power of the holder’s Ghost moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Ghost.",Held: Ghost-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Ghost.,images/items/spooky_plate.png,https://pokeapi.co/api/v2/item/287/
288,draco-plate,draco_plate,,1000,plates,90,"Held: Increases the power of the holder’s Dragon moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Dragon.",Held: Dragon-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Dragon.,images/items/draco_plate.png,https://pokeapi.co/api/v2/item/288/
289,dread-plate,dread_plate,,1000,plates,90,"Held: Increases the power of the holder’s Dark moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Dark.",Held: Dark-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Dark.,images/items/dread_plate.png,https://pokeapi.co/api/v2/item/289/
290,iron-plate,iron_plate,,1000,plates,90,"Held: Increases the power of the holder’s Steel moves by 20%.
Held by a Multitype Pokémon: Holder’s type becomes Steel.",Held: Steel-Type moves from holder do 20% more damage. Changes Arceus’s and Judgment’s type to Steel.,images/items/iron_plate.png,https://pokeapi.co/api/v2/item/290/
291,odd-incense,odd_incense,,2000,type-enhancement,10,Held: Increases the power of the holder’s Psychic moves by 20%.,Held: Psychic-Type moves from holder do 20% more damage. Breeding: Mr. Mime begets a Mime Jr. Egg.,images/items/odd_incense.png,https://pokeapi.co/api/v2/item/291/
292,rock-incense,rock_incense,,2000,type-enhancement,10,Held: Increases the power of the holder’s Rock moves by 20%.,Held: Rock-Type moves from holder do 20% more damage. Breeding: Sudowoodo begets a Bonsly Egg.,images/items/rock_incense.png,https://pokeapi.co/api/v2/item/292/
293,full-incense,full_incense,,5000,bad-held-items,10,"Held: The holder will go last within its move’s priority bracket, regardless of Speed.  If multiple Pokémon within the same priority bracket are subject to this effect, the slower Pokémon will go first.  The holder will move after Pokémon with Stall.  If the holder has Stall, Stall is ignored.  This item ignores Trick Room.",Held: Holder moves last in its priority bracket. Breeding: Snorlax begets a Munchlax Egg.,images/items/full_incense.png,https://pokeapi.co/api/v2/item/293/
294,wave-incense,wave_incense,,2000,type-enhancement,10,Held: Increases the power of the holder’s Water moves by 20%.,Held: Water-Type moves from holder do 20% more damage. Breeding: Mantine begets a Mantyke Egg.,images/items/wave_incense.png,https://pokeapi.co/api/v2/item/294/
295,rose-incense,rose_incense,,2000,type-enhancement,10,Held: Increases the power of the holder’s Grass moves by 20%.,Held: Grass-Type moves from holder do 20% more damage. Breeding: Roselia or Roserade beget a Budew Egg.,images/items/rose_incense.png,https://pokeapi.co/api/v2/item/295/
296,luck-incense,luck_incense,,11000,training,10,Held: Doubles the money the trainer receives after an in-game trainer battle.  This effect cannot apply more than once to the same battle.,Held: Doubles the money earned from a battle. Does not stack with Amulet Coin. Breeding: Chansey and Blissey beget a Happiny Egg.,images/items/luck_incense.png,https://pokeapi.co/api/v2/item/296/
297,pure-incense,pure_incense,,6000,training,10,Held by lead Pokémon: Prevents wild battles with Pokémon that are lower level than the holder.,Prevents wild encounters of level lower than your party’s lead Pokémon. Breeding: Chimecho begets a Chingling Egg.,images/items/pure_incense.png,https://pokeapi.co/api/v2/item/297/
298,protector,protector,,2000,evolution,80,Held by Rhydon: Evolves the holder into Rhyperior when traded.,Traded on a Rhydon: Holder evolves into Rhyperior.,images/items/protector.png,https://pokeapi.co/api/v2/item/298/
299,electirizer,electirizer,,2000,evolution,80,Held by Electabuzz: Evolves the holder into Electivire when traded.,Traded on an Electabuzz: Holder evolves into Electivire.,images/items/electirizer.png,https://pokeapi.co/api/v2/item/299/
300,magmarizer,magmarizer,,2000,evolution,80,Held by Magmar: Evolves the holder into Magmortar when traded.,Traded on a Magmar: Holder evolves into Magmortar.,images/items/magmarizer.png,https://pokeapi.co/api/v2/item/300/
301,dubious-disc,dubious_disc,,2000,evolution,50,Held by Porygon2: Evolves the holder into Porygon-Z when traded.,Traded on a Porygon2: Holder evolves into Porygon-Z.,images/items/dubious_disc.png,https://pokeapi.co/api/v2/item/301/
302,reaper-cloth,reaper_cloth,,2000,evolution,10,Held by Dusclops: Evolves the holder into Dusknoir when traded.,Traded on a Dusclops: Holder evolves into Dusknoir.,images/items/reaper_cloth.png,https://pokeapi.co/api/v2/item/302/
303,razor-claw,razor_claw,,5000,held-items,80,"Held: Raises the holder’s critical hit counter by 1.
Held by Sneasel: Evolves the holder into Weavile when it levels up during the night.",Held: Raises the holder’s critical hit ratio by one stage. Held by a Sneasel while levelling up at night: Holder evolves into Weavile.,images/items/razor_claw.png,https://pokeapi.co/api/v2/item/303/
304,razor-fang,razor_fang,,5000,held-items,30,"Held: When the holder attacks with most damaging moves, provides an extra 11.7% (30/256) chance for the target to flinch.
Held by Gligar: Evolves the holder into Gliscor when it levels up.",Held: Damaging moves gain a 10% chance to make their target flinch. Held by a Gligar while levelling up: Holder evolves into Gliscor.,images/items/razor_fang.png,https://pokeapi.co/api/v2/item/304/
305,tm01,tm01,,40000,all-machines,None,Teaches Focus Punch to a compatible Pokémon.,Teaches Hone Claws to a compatible Pokémon. (Gen IV & III: Focus Punch Gen II: DynamicPunch Gen I: Mega Punch),images/items/tm01.png,https://pokeapi.co/api/v2/item/305/
306,tm02,tm02,,1000,all-machines,None,Teaches Dragon Claw to a compatible Pokémon.,Teaches Dragon Claw to a compatible Pokémon. (Gen II: Headbutt Gen I: Razor Wind),images/items/tm02.png,https://pokeapi.co/api/v2/item/306/
307,tm03,tm03,,50000,all-machines,None,Teaches Water Pulse to a compatible Pokémon.,Teaches Psyshock to a compatible Pokémon. (Gen IV & III: Water Pulse Gen II: Curse Gen I: Swords Dance),images/items/tm03.png,https://pokeapi.co/api/v2/item/307/
