id,name,description,champion_ids,image,sourceUrl
3354,Towa Emote,,518,images/emotes/towa_emote.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/starguardian/em_event_starguardian_towa_inventory.png
3355,Ran Emote,,142,images/emotes/ran_emote.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/starguardian/em_event_starguardian_ran_inventory.png
3356,Saki Emote,,498,images/emotes/saki_emote.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/starguardian/em_event_starguardian_saki_inventory.png
3357,UWU,,267,images/emotes/uwu.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/nami/em_nami_ij_inventory.png
3358,Don't Make Me Laugh,,92,images/emotes/don_t_make_me_laugh.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/riven/em_riven_ij_inventory.png
3359,Worlds 2019 Emote,,,images/emotes/worlds_2019_emote.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds_2019_inventory.png
3360,Worlds 2019 TL,,,images/emotes/worlds_2019_tl.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_tl_01_inventory.png
3362,Worlds 2019 C9,,,images/emotes/worlds_2019_c9.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_c9_01_inventory.png
3364,Worlds 2019 CG,,,images/emotes/worlds_2019_cg.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_cg_01_inventory.png
3366,Worlds 2019 G2,,,images/emotes/worlds_2019_g2.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_g2_01_inventory.png
3367,Worlds 2019 FNC,,,images/emotes/worlds_2019_fnc.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_fnc_01_inventory.png
3368,Worlds 2019 OG,,,images/emotes/worlds_2019_og.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_og_01_inventory.png
3369,Worlds 2019 SPY,,,images/emotes/worlds_2019_spy.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_spy_01_inventory.png
3370,Worlds 2019 S04,,,images/emotes/worlds_2019_s04.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_s04_01_inventory.png
3371,Worlds 2019 SKT,,,images/emotes/worlds_2019_skt.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_skt_01_inventory.png
3372,Worlds 2019 GRF,,,images/emotes/worlds_2019_grf.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_grf_01_inventory.png
3374,Worlds 2019 DWG,,,images/emotes/worlds_2019_dwg.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_dwg_01_inventory.png
3377,Worlds 2019 JT,,,images/emotes/worlds_2019_jt.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_jt_01_inventory.png
3378,Worlds 2019 AHQ,,,images/emotes/worlds_2019_ahq.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_ahq_01_inventory.png
3381,Worlds 2019 HKA,,,images/emotes/worlds_2019_hka.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_hka_01_inventory.png
3383,Worlds 2019 IG,,,images/emotes/worlds_2019_ig.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_ig_01_inventory.png
3385,Worlds 2019 FPX,,,images/emotes/worlds_2019_fpx.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_fpx_01_inventory.png
3387,Worlds 2019 RNG,,,images/emotes/worlds_2019_rng.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_rng_01_inventory.png
3389,Worlds 2019 GAM,,,images/emotes/worlds_2019_gam.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_gam_01_inventory.png
3390,Worlds 2019 LK,,,images/emotes/worlds_2019_lk.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_lk_01_inventory.png
3391,Worlds 2019 FL,,,images/emotes/worlds_2019_fl.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_fl_01_inventory.png
3392,Worlds 2019 LYB,,,images/emotes/worlds_2019_lyb.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_lyb_01_inventory.png
3394,Worlds 2019 MEGA,,,images/emotes/worlds_2019_mega.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_mega_01_inventory.png
3396,Worlds 2019 AXE,,,images/emotes/worlds_2019_axe.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_axe_01_inventory.png
3398,Worlds 2019 RY,,,images/emotes/worlds_2019_ry.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_ry_01_inventory.png
3399,Worlds 2019 UOL,,,images/emotes/worlds_2019_uol.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_uol_01_inventory.png
3400,Worlds 2019 VEG,,,images/emotes/worlds_2019_veg.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_veg_01_inventory.png
3401,Worlds 2019 ISG,,,images/emotes/worlds_2019_isg.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_isg_01_inventory.png
3402,Worlds 2019 FLA,,,images/emotes/worlds_2019_fla.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_fla_01_inventory.png
3404,Worlds 2019 MMM,,,images/emotes/worlds_2019_mmm.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_mmm_01_inventory.png
3405,Worlds 2019 V3,,,images/emotes/worlds_2019_v3.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_v3_01_inventory.png
3406,Worlds 2019 DFM,,,images/emotes/worlds_2019_dfm.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/em_worlds2019_dfm_01_inventory.png
3407,One Corn Chip Animated,,22,images/emotes/one_corn_chip_animated.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/highnoon/emote_hn_ashe_inventory.png
3408,What in Tarnation,,122,images/emotes/what_in_tarnation.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/highnoon/emote_hn_darius_inventory.png
3409,Happy 10th Anniversary!,,,images/emotes/happy_10th_anniversary.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/10yearanniversary/em_anniversary_poro_inventory.png
3410,Making Mischief,,,images/emotes/making_mischief.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/harrowing/em_tftr_pumpkincat_inventory.png
3411,Trick or Treat,,,images/emotes/trick_or_treat.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/harrowing/em_tftr_candycat_inventory.png
3412,Boo!,,17,images/emotes/boo.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/harrowing/em_tftr_devilteemo_inventory.png
3413,I Won!,,,images/emotes/i_won.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/flairs/em_tft_paddlemar_inventory.png
3414,Animated Unimpressed!,,246,images/emotes/animated_unimpressed.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/td/em_td_qiyana_inventory.png
3415,No Sweat!,,245,images/emotes/no_sweat.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/td/em_td_ekko_inventory.png
3416,TFT Season 1 - Gold,,,images/emotes/tft_season_1_gold.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2019/tft/season1/em_rewards_ranked_tft_gold2019_inventory.png
3417,TFT Season 1 - Platinum,,,images/emotes/tft_season_1_platinum.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2019/tft/season1/em_rewards_ranked_tft_platinum2019_inventory.png
3418,TFT Season 1 - Diamond,,,images/emotes/tft_season_1_diamond.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2019/tft/season1/em_rewards_ranked_tft_diamond2019_inventory.png
3419,TFT Season 1 -  Master,,,images/emotes/tft_season_1_master.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2019/tft/season1/em_rewards_ranked_tft_master2019_inventory.png
3420,TFT Season 1 - Grand Master,,,images/emotes/tft_season_1_grand_master.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2019/tft/season1/em_rewards_ranked_tft_grandmaster2019_inventory.png
3421,TFT Season 1 - Challenger,,,images/emotes/tft_season_1_challenger.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2019/tft/season1/em_rewards_ranked_tft_challenger2019_inventory.png
3422,That's Twisted,,,images/emotes/that_s_twisted.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/twistedtreeline/em_tt_vilemaw_inventory.png
3423,2019 Honor 3,,,images/emotes/2019_honor_3.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/honor/2019/em_honor_3_2019_inventory.png
3424,2019 Honor 4,,,images/emotes/2019_honor_4.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/honor/2019/em_honor_4_2019_inventory.png
3425,2019 Honor 5,,,images/emotes/2019_honor_5.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/honor/2019/em_honor_5_2019_inventory.png
3426,Irresistible!,,103,images/emotes/irresistible.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/prestige/em_prestige_ahri_inventory.png
3427,All Love,,43,images/emotes/all_love.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/vs/em_events_vs_karma_inventory.png
3428,I Laugh at You!,,8,images/emotes/i_laugh_at_you.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/vs/em_events_vs_vladimir_inventory.png
3429,"Oh, Please!",,16,images/emotes/oh_please_2.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/vs/em_events_vs_soraka_inventory.png
3430,Flee!,,,images/emotes/flee.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/flairs/em_flairs_sugarrushcookie_inventory.png
3431,2019 Worlds Winners Emote,,,images/emotes/2019_worlds_winners_emote.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/esports/worlds2019/emote_worlds2019_winner_inventory.png
3432,Let Me at 'Em!,,24,images/emotes/let_me_at_em.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/lunarrevel/em_events_lunarrevel_jax_inventory.png
3433,Charge Up!,,875,images/emotes/charge_up.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/lunarrevel/em_events_lunarrevel_sett_inventory.png
3434,Transform!,,86,images/emotes/transform.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/lunarrevel/em_events_lr_mkgaren_inventory.png
3435,NOT AGAIN,This emote was earned by completing a 2020 Esports mission.,145,images/emotes/not_again.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/watchrewards/em_esports_kaisa_inventory.png
3436,Masters Challenge Season 4,Award to those who made top 2000 in both season 4 and season 5 in Master's Challenge shard,,images/emotes/masters_challenge_season_4.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/chinamasters/em_masters_challenge_4_2_inventory.png
3437,Masters Challenge Season 5,Award to those who made top 2000 in both season 4 and season 5 in Master's Challenge shard,,images/emotes/masters_challenge_season_5.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/chinamasters/em_masters_challenge_5_inventory.png
3438,2020 - Split 1 - Iron,Earned by winning ranked games in Season 2020 - Split 1,523,images/emotes/2020_split_1_iron.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split1/em_ranked_2020_split_1_iron_inventory.png
3439,2020 - Split 1 - Bronze,Earned by winning ranked games in Season 2020 - Split 1,523,images/emotes/2020_split_1_bronze.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split1/em_ranked_2020_split_1_bronze_inventory.png
3440,2020 - Split 1 - Silver,Earned by winning ranked games in Season 2020 - Split 1,523,images/emotes/2020_split_1_silver.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split1/em_ranked_2020_split_1_silver_inventory.png
3441,2020 - Split 1 - Gold,Earned by winning ranked games in Season 2020 - Split 1,523,images/emotes/2020_split_1_gold.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split1/em_ranked_2020_split_1_gold_inventory.png
3442,2020 - Split 1 - Platinum,Earned by winning ranked games in Season 2020 - Split 1,523,images/emotes/2020_split_1_platinum.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split1/em_ranked_2020_split_1_plat_inventory.png
3443,2020 - Split 1 - Diamond,Earned by winning ranked games in Season 2020 - Split 1,523,images/emotes/2020_split_1_diamond.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split1/em_ranked_2020_split_1_diamond_inventory.png
3444,2020 - Split 1 - Master,Earned by winning ranked games in Season 2020 - Split 1,523,images/emotes/2020_split_1_master.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split1/em_ranked_2020_split_1_master_inventory.png
3445,2020 - Split 1 - Grand Master,Earned by winning ranked games in Season 2020 - Split 1,523,images/emotes/2020_split_1_grand_master.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split1/em_ranked_2020_split_1_grandmaster_inventory.png
3446,2020 - Split 1 -Challenger,Earned by winning ranked games in Season 2020 - Split 1,523,images/emotes/2020_split_1_challenger.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split1/em_ranked_2020_split_1_challenger_inventory.png
3447,Hehehe,,99,images/emotes/hehehe.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/darkstar/em_darkstar_lux_inventory.png
3448,Animated Did You Just?,,99,images/emotes/animated_did_you_just.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/darkstar/em_cosmic_lux_inventory.png
3449,Don't Be Afraid!,,82,images/emotes/don_t_be_afraid.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/darkstar/em_darkstar_morde_inventory.png
3450,That's Not Nice...,,,images/emotes/that_s_not_nice.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/darkstar/em_darkstar_octopus_inventory.png
3451,Ooh La La!,,,images/emotes/ooh_la_la.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/darkstar/em_darkstar_fencer_inventory.png
3452,Stop That!,,,images/emotes/stop_that.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/darkstar/em_darkstar_whale_inventory.png
3453,Say That One More Time.,,,images/emotes/say_that_one_more_time.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/galaxies/em_galaxies_molediver_inventory.png
3454,Is That a Threat?!,,,images/emotes/is_that_a_threat.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/galaxies/em_ufo_sprite_inventory.png
3455,Got Ya!,,18,images/emotes/got_ya.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/aprilfools/em_af_tristana_inventory.png
3456,Glee!,,6,images/emotes/glee.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/aprilfools/em_af_urgot_inventory.png
3457,How Dare You!,,45,images/emotes/how_dare_you.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/aprilfools/em_af_veigar_inventory.png
3458,2020 - Split 2 - Iron,,106,images/emotes/2020_split_2_iron.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split2/em_ranked_2020_split_2_iron_inventory.png
3459,2020 - Split 2 - Bronze,,106,images/emotes/2020_split_2_bronze.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split2/em_ranked_2020_split_2_bronze_inventory.png
3460,2020 - Split 2 - Silver,,106,images/emotes/2020_split_2_silver.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split2/em_ranked_2020_split_2_silver_inventory.png
3461,2020 - Split 2 - Gold,,106,images/emotes/2020_split_2_gold.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split2/em_ranked_2020_split_2_gold_inventory.png
3462,2020 - Split 2 - Platinum,,106,images/emotes/2020_split_2_platinum.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split2/em_ranked_2020_split_2_plat_inventory.png
3463,2020 - Split 2 - Diamond,,106,images/emotes/2020_split_2_diamond.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split2/em_ranked_2020_split_2_diamond_inventory.png
3464,2020 - Split 2 - Master,,106,images/emotes/2020_split_2_master.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split2/em_ranked_2020_split_2_master_inventory.png
3465,2020 - Split 2 - Grand Master,,106,images/emotes/2020_split_2_grand_master.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split2/em_ranked_2020_split_2_grandmaster_inventory.png
3466,2020 - Split 2 - Challenger,,106,images/emotes/2020_split_2_challenger.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/split2/em_ranked_2020_split_2_challenger_inventory.png
3467,Rise of the Elements Gold Emote,,,images/emotes/rise_of_the_elements_gold_emote.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/tft/1/em_rewards_ranked_tft_gold2020_inventory.png
3468,Rise of the Elements Platinum Emote,,,images/emotes/rise_of_the_elements_platinum_emote.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/tft/1/em_rewards_ranked_tft_platinum2020_inventory.png
3469,Rise of the Elements Diamond Emote,,,images/emotes/rise_of_the_elements_diamond_emote.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/tft/1/em_rewards_ranked_tft_diamond2020_inventory.png
3470,Rise of the Elements Master Emote,,,images/emotes/rise_of_the_elements_master_emote.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/tft/1/em_rewards_ranked_tft_master2020_inventory.png
3471,Rise of the Elements Grand Master Emote,,,images/emotes/rise_of_the_elements_grand_master_emote.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/tft/1/em_rewards_ranked_tft_grandmaster2020_inventory.png
3472,Rise of the Elements Challenger Emote,,,images/emotes/rise_of_the_elements_challenger_emote.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/tft/1/em_rewards_ranked_tft_challenger2020_inventory.png
3473,Outta Time!,,245,images/emotes/outta_time.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/pulsefire/em_pulsefire_ekko_inventory.png
3474,Animated I See...,,432,images/emotes/animated_i_see.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/pulsefire/em_astronaut_bard_inventory.png
3475,Rise!,,,images/emotes/rise.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/pulsefire/em_astronaut_meep_inventory.png
3476,It Was Me!,,875,images/emotes/it_was_me.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/watchrewards/em_esports_sett_inventory.png
3477,Is That a Challenge?,,106,images/emotes/is_that_a_challenge.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/champions/volibear/em_volibear_inventory.png
3478,Nothing Personal!,,4,images/emotes/nothing_personal.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/highnoon/em_high_noon_tf_inventory.png
3479,Reckon it's Time!,,235,images/emotes/reckon_it_s_time.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/highnoon/em_high_noon_senna_inventory.png
3480,Not Now!,,39,images/emotes/not_now.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/events/highnoon/em_high_noon_irelia_inventory.png
3481,Galaxies Stage 1 Gold Squink,Earned by reaching Gold tier in TFT Galaxies Stage 1,,images/emotes/galaxies_stage_1_gold_squink.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/tft/2/em_ranked_squink_gold_inventory.png
3482,Galaxies Stage 1 Platinum Squink,Earned by reaching Platinum tier in TFT Galaxies Stage 1,,images/emotes/galaxies_stage_1_platinum_squink.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/tft/2/em_ranked_squink_plat_inventory.png
3483,Galaxies Stage 1 Diamond Squink,Earned by reaching Diamond tier in TFT Galaxies Stage 1,,images/emotes/galaxies_stage_1_diamond_squink.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/tft/2/em_ranked_squink_diamond_inventory.png
3484,Galaxies Stage 1 Master Squink,Earned by reaching Master tier in TFT Galaxies Stage 1,,images/emotes/galaxies_stage_1_master_squink.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/tft/2/em_ranked_squink_master_inventory.png
3485,Galaxies Stage 1 Grandmaster Squink,Earned by reaching Grand Master tier in TFT Galaxies Stage 1,,images/emotes/galaxies_stage_1_grandmaster_squink.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/loadouts/summoneremotes/rewards/ranked/2020/tft/2/em_ranked_squink_grandmaster_inventory.png
