champion,champion_id,slot,name,description,tooltip,cooldown,cost,range,resource,image,image_large,sourceUrl
Bel'Veth,200,W,Above and Below,"Bel'Veth slams her tail to the ground, damaging, knocking up, and slowing her enemies.","Bel'Veth slams her tail, dealing {{ damage }} magic damage , Knocking Up foes for {{ duration }} seconds, and Slowing them by {{ slowpercent*100 }}% for {{ slowduration }} seconds. If a champion is hit, this refreshes the Cooldown of Void Surge in that direction.{{ spellmodifierdescriptionappend }}",12/11/10/9/8,0,715,No Cost,champions/Belveth/images/abilities/above_and_below.png,champions/Belveth/images/abilities/above_and_below.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/belveth/hud/icons2d/belvethw.png
Bel'Veth,200,E,Royal Maelstrom,"Bel'Veth roots herself in place, channeling a storm of slashes around her that targets the lowest-health enemy and grants her lifesteal and damage reduction.","Bel'Veth channels and slashes around herself, gaining {{ drpercent*100 }}% Damage Reduction, {{ totallifesteal }} Life Steal, and Attacking {{ f2.0 }} times over {{ totalduration }} seconds with the number of Attacks increasing based on her Attack Speed . Each Attack strikes the lowest-health enemy, dealing {{ damageperstrike }} to {{ maxdamageperstriketooltip }} physical damage based on the target's missing Health. Using another Ability or Recasting ends this Ability early. {{ spellmodifierdescriptionappend }}",20/19/18/17/16,0,500,No Cost,champions/Belveth/images/abilities/royal_maelstrom.png,champions/Belveth/images/abilities/royal_maelstrom.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/belveth/hud/icons2d/belvethe.png
Bel'Veth,200,R,Endless Banquet,"Bel'Veth consumes Void coral remnants, transforming into her true form and increasing her max health, attack range, attack speed, and out-of-combat move speed. Consuming the Void coral remnants of a Void epic monster will grant her a longer ultimate duration, as well as the power to summon Void remora.","Passive: Every second Attack against the same target deals an additional {{ finalonhitdamage }} true damage , stacking infinitely. Takedowns against champions and epic monsters leave behind a piece of Void Coral. Active: Consuming Void Coral grants {{ passivestacksondevour }} Lavender stack and activates Bel'Veth's true form for {{ steroidduration }} seconds. Void Coral from Void epic monsters increases the duration to {{ voidduration }} seconds and causes minions that die nearby to become Void Remora. While casting, Bel'Veth Slows nearby enemies before exploding, dealing {{ totalexplosiondamage }} + {{ missinghealthdamage*100 }}% missing-Health true damage . In her true form, Bel'Veth gains {{ maxhealthondevour }} max Health , {{ oocms }} Move Speed out of combat, {{ bonusaarange }} Attack range, {{ totalasmod*100 }}% Total Attack Speed , and Void Surge can pass through walls. {{ spellmodifierdescriptionappend }}",1,0,450,No Cost,champions/Belveth/images/abilities/endless_banquet.png,champions/Belveth/images/abilities/endless_banquet.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/belveth/hud/icons2d/belvethr.png
Hecarim,120,P,Warpath,Hecarim gains Attack Damage equal to a percentage of his bonus Move Speed.,,,,,,champions/Hecarim/images/abilities/warpath.png,champions/Hecarim/images/abilities/warpath.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/hecarim/hud/icons2d/hecarim_passive.png
Hecarim,120,Q,Rampage,"Hecarim cleaves nearby enemies dealing physical damage. If Hecarim damages at least one enemy, he increases the damage and lowers the cooldown of subsequent Rampages.","Hecarim cleaves nearby enemies for {{ damage }} physical damage . If this Ability hits, he gains a stack that decreases its Cooldown by {{ rampagecooldownreduction }} seconds and increases its damage by {{ rampagebonusdamageperc }}% for {{ e6 }} seconds. Stacks up to {{ e2 }} times. {{ spellmodifierdescriptionappend }}",4,28/26/24/22/20,350,{{ cost }} {{ abilityresourcename }},champions/Hecarim/images/abilities/rampage.png,champions/Hecarim/images/abilities/rampage.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/hecarim/hud/icons2d/hecarim_rampage.png
Hecarim,120,W,Spirit of Dread,"Hecarim gains Armor and Magic Resist. Hecarim deals magic damage to nearby enemies, and gains Health equal to a percentage of any damage those enemies suffer.",Hecarim deals {{ totaldamage }} magic damage over {{ buffduration }} seconds to nearby enemies. Hecarim gains {{ resistamount }} Armor and Magic Resist and heals for {{ leechamount }}% of damage nearby enemies take from Hecarim and {{ allytooltipleachvalue }}% of damage taken from his allies.{{ spellmodifierdescriptionappend }},14,50/55/60/65/70,525,{{ cost }} {{ abilityresourcename }},champions/Hecarim/images/abilities/spirit_of_dread.png,champions/Hecarim/images/abilities/spirit_of_dread.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/hecarim/hud/icons2d/hecarim_spiritofdread.png
Hecarim,120,E,Devastating Charge,Hecarim gains increasing Move Speed and can move through units for a short duration. His next attack knocks the target back and deals additional physical damage based on the distance he has traveled since activating the ability.,Hecarim becomes Ghosted and gains {{ minmovespeed*100 }}% Move Speed increasing to {{ maxmovespeed*100 }}% over {{ e5 }} seconds. His next Attack Knocks Back and deals between {{ mindamage }} and {{ maxdamage }} physical damage . Knock Back distance and damage scales with distance travelled during this Ability.{{ spellmodifierdescriptionappend }},20/19/18/17/16,60,300,{{ cost }} {{ abilityresourcename }},champions/Hecarim/images/abilities/devastating_charge.png,champions/Hecarim/images/abilities/devastating_charge.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/hecarim/hud/icons2d/hecarim_devastingcharge.png
Hecarim,120,R,Onslaught of Shadows,"Hecarim summons spectral riders and charges forward, dealing magic damage in a line. Hecarim creates a shockwave when he finishes his charge, causing nearby enemies to flee in terror.","Hecarim summons spectral riders and charges forward, dealing {{ damagedone }} magic damage . Hecarim unleashes a shockwave at the end of the charge that Fears for between {{ feardurationmin }} to {{ feardurationmax }} seconds, increased by charge distance.{{ spellmodifierdescriptionappend }}",140/120/100,100,50000,{{ cost }} {{ abilityresourcename }},champions/Hecarim/images/abilities/onslaught_of_shadows.png,champions/Hecarim/images/abilities/onslaught_of_shadows.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/hecarim/hud/icons2d/hecarim_onslaughtofshadows.png
Corki,42,P,Hextech Munitions,A percentage of Corki's basic attack damage is dealt as bonus true damage .,,,,,,champions/Corki/images/abilities/hextech_munitions.png,champions/Corki/images/abilities/hextech_munitions.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/corki/hud/icons2d/corki_rapidreload.png
Corki,42,Q,Phosphorus Bomb,"Corki fires a flash bomb at a target location, dealing magic damage to enemies in the area. This attack additionally reveals units in the area for a duration.","Corki lobs a bomb, dealing {{ totaldamage }} magic damage . The area and champions hit are revealed for {{ revealduration }} seconds.{{ spellmodifierdescriptionappend }}",9/8.5/8/7.5/7,60/65/70/75/80,825,{{ cost }} {{ abilityresourcename }},champions/Corki/images/abilities/phosphorus_bomb.png,champions/Corki/images/abilities/phosphorus_bomb.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/corki/hud/icons2d/corki_phosphorusbomb.png
Corki,42,W,Valkyrie,"Corki flies a short distance, dropping bombs that create a trail of fire that damages opponents who remain in it.","Corki flies over and scorches a path, burning it for {{ trailduration }} seconds. Enemies in the fire take up to {{ maximumdamage }} magic damage over the duration.{{ spellmodifierdescriptionappend }}",20/18/16/14/12,80/85/90/95/100,600,{{ cost }} {{ abilityresourcename }},champions/Corki/images/abilities/valkyrie.png,champions/Corki/images/abilities/valkyrie.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/corki/hud/icons2d/corki_valkyrie.png
Corki,42,E,Gatling Gun,"Corki's gatling gun rapidly fires in a cone in front of him, dealing damage and reducing enemy Armor and Magic Resist.","Corki fires a gatling gun in front of him, dealing {{ totaldamage }} physical damage over {{ sprayduration }} seconds and shredding up to {{ shredmax*-1 }} Armor and Magic Resist .{{ spellmodifierdescriptionappend }}",12,50/55/60/65/70,600,{{ cost }} {{ abilityresourcename }},champions/Corki/images/abilities/gatling_gun.png,champions/Corki/images/abilities/gatling_gun.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/corki/hud/icons2d/corki_gatlinggun.png
Corki,42,R,Missile Barrage,"Corki fires a missile toward his target location that explodes on impact, dealing damage to enemies in an area. Corki stores missiles over time, up to a maximum. Every 3rd missile fired will be a Big One, dealing extra damage.","Corki fires a missile that explodes on the first enemy hit, dealing {{ rsmallmissiledamage }} physical damage to surrounding enemies. Every third missile instead deals {{ rbigmissiledamage }} physical damage . This Ability has up to {{ maxammotooltip }} charges. Basic attacks against champions reduce the time between charges by {{ attackrefund }} seconds on hit.{{ spellmodifierdescriptionappend }}",2,35,1225,{{ cost }} {{ abilityresourcename }},champions/Corki/images/abilities/missile_barrage.png,champions/Corki/images/abilities/missile_barrage.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/corki/hud/icons2d/corki_missilebarrage.png
Ivern,427,P,Friend of the Forest,"Ivern cannot attack or be attacked by non-epic monsters. Ivern can create magical groves on jungle camps which grow over time. When the grove is fully grown, Ivern may free the monsters to receive gold and experience.",,,,,,champions/Ivern/images/abilities/friend_of_the_forest.png,champions/Ivern/images/abilities/friend_of_the_forest.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ivern/hud/icons2d/ivernp.png
Ivern,427,Q,Rootcaller,"Ivern conjures a vine, dealing damage and rooting enemy targets hit. Ivern's allies can dash to the rooted target.",Ivern conjures a vine dealing {{ totaldamage }} magic damage and Rooting the first enemy hit for {{ rootduration }} seconds. Allies that Attack a Rooted enemy dash into Attack Range. Recast: Ivern dashes directly onto the Rooted enemy. Hitting non-epic monsters reduces Rootcaller's cooldown by 50%. {{ spellmodifierdescriptionappend }},14/13/12/11/10,60,1125,{{ cost }} {{ abilityresourcename }},champions/Ivern/images/abilities/rootcaller.png,champions/Ivern/images/abilities/rootcaller.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ivern/hud/icons2d/ivernq.png
Ivern,427,W,Brushmaker,"In brush, Ivern and his nearby allies attacks deal bonus magic damage. Ivern can activate this ability to create a patch of brush.","Passive: While in brush and for {{ buffduration }} seconds after leaving, Ivern's Attacks deal an additional {{ totaldamage }} magic damage . Nearby allies will gain this effect for {{ allybuffduration }} seconds and deal {{ totalallydamage }} magic damage . Active: Ivern grows a patch of Brush, revealing the area for {{ revealduration }} seconds. The Brush persists until Ivern's team loses vision within it, or up to {{ maxbrushduration }} seconds.{{ spellmodifierdescriptionappend }}",0.5,30,1150,{{ cost }} {{ abilityresourcename }},champions/Ivern/images/abilities/brushmaker.png,champions/Ivern/images/abilities/brushmaker.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ivern/hud/icons2d/ivernw.png
Ivern,427,E,Triggerseed,Ivern places a shield on an ally which explodes after a short duration slowing and damaging enemies. The shield refreshes if it hits no enemies.,"Ivern grants {{ totalshield }} Shield to an ally champion or Daisy. After {{ shieldduration }} seconds, it bursts, dealing {{ totaldamage }} magic damage and Slowing enemies by {{ slowamount*100 }}% for {{ slowduration }} seconds. If Triggerseed detonates and no enemy champions are hit while the shield still persists, the ally will be shielded for {{ totalshield }} for {{ shieldduration }} seconds.{{ spellmodifierdescriptionappend }}",11/10/9/8/7,70,750,{{ cost }} {{ abilityresourcename }},champions/Ivern/images/abilities/triggerseed.png,champions/Ivern/images/abilities/triggerseed.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ivern/hud/icons2d/iverne.png
Ivern,427,R,Daisy!,Ivern summons his Sentinel friend Daisy to fight with him. Re-cast command Daisy to attack or move.,"Ivern summons his sentinel friend Daisy to leap into the fray for {{ daisyduration }} seconds. Daisy, Slam!: Daisy's 3rd consecutive Attack on the same champion or epic monster will launch a shockwave, dealing {{ totalshockwavedamage }} magic damage to all enemies hit as well as Knocking Up for {{ shockwaveccduration }} second. This effect can only occur once every {{ shockwavecd }} seconds. Recast: Instruct Daisy to Attack or move.{{ spellmodifierdescriptionappend }}",140/130/120,100,600,{{ cost }} {{ abilityresourcename }},champions/Ivern/images/abilities/daisy.png,champions/Ivern/images/abilities/daisy.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ivern/hud/icons2d/ivernr.png
Ekko,245,P,Z-Drive Resonance,"Every third attack or damaging spell on the same target deals bonus magic damage, and grants Ekko a burst of speed if the target is a champion.",,,,,,champions/Ekko/images/abilities/z_drive_resonance.png,champions/Ekko/images/abilities/z_drive_resonance.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ekko/hud/icons2d/ekko_p.png
Ekko,245,Q,Timewinder,"Ekko throws a temporal grenade that expands into a time-distortion field upon hitting an enemy champion, slowing and damaging anyone caught inside. After a delay, the grenade rewinds back to Ekko, dealing damage on its return.","Ekko throws a device dealing {{ initialdamage }} magic damage . On hitting a champion or reaching the end of its range, it expands into a field that Slows enemies inside by {{ e2 }}%. After it expands, Ekko recalls it, dealing {{ recalldamage }} magic damage .{{ spellmodifierdescriptionappend }}",9/8.5/8/7.5/7,50/60/70/80/90,1075,{{ cost }} {{ abilityresourcename }},champions/Ekko/images/abilities/timewinder.png,champions/Ekko/images/abilities/timewinder.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ekko/hud/icons2d/ekko_q.png
Ekko,245,W,Parallel Convergence,"Ekko's basic attacks deal bonus magic damage to low health enemies. He can cast Parallel Convergence to split the timeline, creating an anomaly after a few seconds that slows enemies caught inside. If Ekko enters the anomaly, he gains shielding and stuns enemies by suspending them in time.","Passive: Ekko's Attacks against enemies below 30% Health deal {{ missinghealthpercent }} missing Health magic damage . Active: Ekko launches a chronosphere lasting 1.5 seconds after a delay that Slows enemies inside by {{ e0 }}%. If Ekko enters the sphere, he detonates it, Stunning for {{ e2 }} seconds and gaining {{ totalshield }} Shield .{{ spellmodifierdescriptionappend }}",22/20/18/16/14,30/35/40/45/50,1600,{{ cost }} {{ abilityresourcename }},champions/Ekko/images/abilities/parallel_convergence.png,champions/Ekko/images/abilities/parallel_convergence.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ekko/hud/icons2d/ekko_w.png
Ekko,245,E,Phase Dive,"Ekko rolls evasively while charging up his Z-Drive. His next attack deals bonus damage and warps reality, teleporting him to his target.","Ekko dashes and empowers his next Attack to have bonus range, teleport him to his target, and deal an additional {{ totaldamage }} magic damage .{{ spellmodifierdescriptionappend }}",9/8.5/8/7.5/7,40/45/50/55/60,325,{{ cost }} {{ abilityresourcename }},champions/Ekko/images/abilities/phase_dive.png,champions/Ekko/images/abilities/phase_dive.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ekko/hud/icons2d/ekko_e.png
Ekko,245,R,Chronobreak,"Ekko shatters his timeline, becoming untargetable and rewinding to a more favorable point in time. He returns to whenever he was a few seconds ago, and heals for a percentage of the damage received in that duration. Enemies near his arrival zone take massive damage.","Ekko turns back time, entering Stasis while teleporting to where he was 4 seconds ago and dealing {{ totaldamage }} magic damage to nearby enemies. In addition, Ekko restores {{ totalbaseheal }} Health , increased by {{ percenthealampperpercentmissinghealth }}% for each 1% Health he lost in last 4 seconds.{{ spellmodifierdescriptionappend }}",110/80/50,100,850,{{ cost }} {{ abilityresourcename }},champions/Ekko/images/abilities/chronobreak.png,champions/Ekko/images/abilities/chronobreak.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/ekko/hud/icons2d/ekko_r.png
Gangplank,41,P,Trial by Fire,"Every few seconds, Gangplank's melee strike will set his opponent on fire.",,,,,,champions/Gangplank/images/abilities/trial_by_fire.png,champions/Gangplank/images/abilities/trial_by_fire.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/gangplank/hud/icons2d/gangplank_passive.png
Gangplank,41,Q,Parrrley,"Shoots target, plundering Gold for each enemy unit killed.",{{Spell_GangplankQWrapper_Tooltip_{{ gamemodeinteger }}}}{{ spellmodifierdescriptionappend }},4.5,50/45/40/35/30,625,{{ cost }} {{ abilityresourcename }},champions/Gangplank/images/abilities/parrrley.png,champions/Gangplank/images/abilities/parrrley.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/gangplank/hud/icons2d/gangplank_q.png
Gangplank,41,W,Remove Scurvy,Eats citrus to cure crowd control effects and restore Health.,"Gangplank consumes a large amount of citrus fruit, removing all Disabling effects and restoring {{ basehealth }} plus {{ e2 }}% missing Health .{{ spellmodifierdescriptionappend }}",22/20/18/16/14,60/70/80/90/100,400,{{ cost }} {{ abilityresourcename }},champions/Gangplank/images/abilities/remove_scurvy.png,champions/Gangplank/images/abilities/remove_scurvy.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/gangplank/hud/icons2d/gangplank_w.png
Gangplank,41,E,Powder Keg,"Gangplank uncovers a powder keg at target location. If he attacks it, it explodes, spreading the attack's damage to enemies in the area, slowing them.","Gangplank places a powder keg that can be attacked by Gangplank and enemy champions for {{ e5 }} seconds. When an enemy destroys it, the keg is defused. When Gangplank destroys it, it explodes, Slowing by {{ finalslowamount }}% for {{ e2 }} seconds and dealing the Attack's damage , ignoring {{ e0 }}% Armor. Champions take an additional {{ e3 }} physical damage . Keg health decays every {{ f5 }} seconds. Keg explosions detonate other kegs with overlapping blast zones, but don't deal damage to the same target more than once. Keg explosions triggered by Parrrley will grant the bonus gold for targets killed.{{ spellmodifierdescriptionappend }}",0,0,1000,No Cost,champions/Gangplank/images/abilities/powder_keg.png,champions/Gangplank/images/abilities/powder_keg.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/gangplank/hud/icons2d/gangplank_e.png
Gangplank,41,R,Cannon Barrage,"Gangplank signals his ship to bombard an area, slowing and damaging enemies.",Gangplank signals his ship to fire {{ totalwavestooltip }} waves of cannonballs anywhere on the map over {{ zoneduration }} seconds. Each wave Slows by {{ slowpercent }}% for {{ slowduration }} seconds and deals {{ onewavedamage }} magic damage . Maximum damage: {{ totaldamagetooltip }} This Ability can be upgraded in the shop via Parrrley . Fire at Will : Fires 6 additional waves of cannonballs. Death's Daughter : Fires a Mega-Cannonball that deals {{ deathsdaughterdamage }} true damage and Slows by {{ deathsdaughterslow }}% for {{ deathsdaughterslowduration }} second. Raise Morale : Allies inside Cannon Barrage gain {{ raisemoralehaste }}% Move Speed for {{ raisemoralehasteduration }} seconds.{{ spellmodifierdescriptionappend }},160/140/120,100,30000,{{ cost }} {{ abilityresourcename }},champions/Gangplank/images/abilities/cannon_barrage.png,champions/Gangplank/images/abilities/cannon_barrage.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/gangplank/hud/icons2d/gangplank_r.png
Mel,800,P,Searing Brilliance,"Whenever Mel uses an ability, she gains three bonus projectiles (up to nine maximum) on her next attack. When Mel deals damage through an ability or attack, she applies Overwhelm, which can stack infinitely. If the enemy is hit by Mel with enough Overwhelm damage, the stacks are consumed to execute the target.",,,,,,champions/Mel/images/abilities/searing_brilliance.png,champions/Mel/images/abilities/searing_brilliance.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/mel/hud/icons2d/mel_passive.png
Mel,800,Q,Radiant Volley,"Mel fires a barrage of projectiles that explode around a target location, dealing damage repeatedly to enemies within the area.","Mel unleashes a barrage of {{ explosioncount }} projectiles that explode in the area around a target location. Each explosion deals {{ totalexplosiondamage }} magic damage , adding up to {{ alldamagehit }} magic damage total.{{ spellmodifierdescriptionappend }}",10/9/8/7/6,70/80/90/100/110,950,{{ cost }} {{ abilityresourcename }},champions/Mel/images/abilities/radiant_volley.png,champions/Mel/images/abilities/radiant_volley.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/mel/hud/icons2d/mel_q.png
Mel,800,W,Rebuttal,"Mel forms a barrier around herself that reflects enemy projectiles back at the attacker, prevents her from taking damage, and grants her movement speed.","Mel forms a barrier around herself that reflects projectiles from enemy champions, prevents her from taking damage, and gives her {{ movespeed*100 }}% decaying Move Speed for {{ duration }} second(s). Reflected projectiles deal {{ damagepercent }} original damage as magic damage .{{ spellmodifierdescriptionappend }}",35/32/29/26/23,80/60/40/20/0,250,{{ cost }} {{ abilityresourcename }},champions/Mel/images/abilities/rebuttal.png,champions/Mel/images/abilities/rebuttal.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/mel/hud/icons2d/mel_w.png
Mel,800,E,Solar Snare,"Mel fires a radiant orb forward, rooting those at its center while the area around it slows enemies and deals damage over time.","Mel fires a radiating orb, Rooting enemies at its center for {{ rootduration }} seconds and dealing {{ damage }} magic damage . The orb builds up a hostile area around it that Slows enemies by {{ areaslowamount*100 }}% and deals {{ areadamagepersecond }} magic damage per second .{{ spellmodifierdescriptionappend }}",12/11.5/11/10.5/10,50/60/70/80/90,1050,{{ cost }} {{ abilityresourcename }},champions/Mel/images/abilities/solar_snare.png,champions/Mel/images/abilities/solar_snare.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/mel/hud/icons2d/mel_e.png
Mel,800,R,Golden Eclipse,"Mel strikes all enemies marked with Overwhelm regardless of their distance from her, dealing additional damage for each stack of Overwhelm. Ranks of Golden Eclipse increase Overwhelm's damage.","Passive : Overwhelm damage is increased to {{ passiveflatdamage }} magic damage plus {{ passivestackdamage }} magic damage per stack . Active : Mel unleashes her power on all enemies affected by Overwhelm , dealing {{ ultflatdamage }} magic damage plus {{ ultstackdamage }} magic damage per Overwhelm stack . Can only be cast when an enemy champion is affected by Overwhelm . {{ spellmodifierdescriptionappend }}",120/100/80,100,25000,{{ cost }} {{ abilityresourcename }},champions/Mel/images/abilities/golden_eclipse.png,champions/Mel/images/abilities/golden_eclipse.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/mel/hud/icons2d/mel_r.png
Kled,240,P,"Skaarl, the Cowardly Lizard","Kled rides his trusty steed, Skaarl, who takes damage for him. When Skaarl's health depletes, Kled dismounts. While dismounted, Kled's abilities change and he deals less damage to champions. Kled can restore Skaarl's courage by fighting enemies. At maximum courage, Kled remounts with a portion of Skaarl's health.",,,,,,champions/Kled/images/abilities/skaarl_the_cowardly_lizard.png,champions/Kled/images/abilities/skaarl_the_cowardly_lizard.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/kled/hud/icons2d/kled_p.png
Kled,240,Q,Bear Trap on a Rope,"Kled throws a bear trap that damages and hooks an enemy champion. If shackled for a short duration, the target takes additional physical damage and is yanked toward Kled. When dismounted, this ability is replaced by Pocket Pistol, a ranged gun blast that knocks back Kled and restores courage.","Mounted: Kled throws a bear trap that deals {{ totaldamage }} physical damage and hooks onto the first enemy champion or large jungle monster hit. If Kled stays near a hooked enemy for {{ tetherpoptime }} seconds, he yanks out the trap, dealing {{ totalyankdamage }} physical damage , Pulling them, and Slowing by {{ slowamount*-100 }}% for {{ slowduration }} seconds.{{ spellmodifierdescriptionappend }}",11/10/9/8/7,0,800,No Cost,champions/Kled/images/abilities/bear_trap_on_a_rope.png,champions/Kled/images/abilities/bear_trap_on_a_rope.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/kled/hud/icons2d/kled_q1.png
Kled,240,W,Violent Tendencies,Kled gains massive attack speed for four attacks. The fourth attack deals more damage.,Passive: Kled's next Attack grants {{ attackspeed*100 }}% Attack Speed for four Attacks or {{ activeduration }} seconds. The fourth hit deals an additional {{ baseflatdamage }} plus {{ percentdamage }} max Health physical damage .{{ spellmodifierdescriptionappend }},13/12/11/10/9,0,0,No Cost,champions/Kled/images/abilities/violent_tendencies.png,champions/Kled/images/abilities/violent_tendencies.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/kled/hud/icons2d/kled_w.png
Kled,240,E,Jousting,"Kled dashes, dealing physical damage and gaining a short burst of speed. Kled can cast this ability again to dash back through his initial target, dealing the same damage.","Kled dashes, dealing {{ totaldamage }} physical damage to enemies he passes through, pulling minions and small monsters towards him. If this Ability hits an enemy champion or large jungle monster, Kled gains {{ movespeed*100 }}% Move Speed for {{ movespeedduration }} second(s) and can Recast within {{ recastwindow }} seconds to dash back through the same target.{{ spellmodifierdescriptionappend }}",13/12/11/10/9,0,550,No Cost,champions/Kled/images/abilities/jousting.png,champions/Kled/images/abilities/jousting.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/kled/hud/icons2d/kled_e1.png
Kled,240,R,Chaaaaaaaarge!!!,"Kled and Skaarl charge to a location, leaving a speed-granting trail behind them and gaining a shield. Skaarl locks onto and rams the first enemy champion encountered.","Kled charges toward an area, leaving a trail that grants allies increasing Move Speed . While charging and for 2 seconds after Kled gains up to {{ maximumshield }} Shield . Skaarl rams the first enemy champion encountered, dealing {{ minimumdamagetooltip }} to {{ maximumchargedamage }} max Health magic damage (based on distance travelled) and briefly Knocking Back .{{ spellmodifierdescriptionappend }}",140/125/110,0,3500/4000/4500,No Cost,champions/Kled/images/abilities/chaaaaaaaarge.png,champions/Kled/images/abilities/chaaaaaaaarge.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/kled/hud/icons2d/kled_r.png
Nunu & Willump,20,P,Call of the Freljord,"Nunu increases the attack speed and Move Speed of Willump and a nearby ally, and causes Willump's basic attacks to damage enemies around the target.",,,,,,champions/Nunu/images/abilities/call_of_the_freljord.png,champions/Nunu/images/abilities/call_of_the_freljord.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/nunu/hud/icons2d/nunupassive.png
Nunu & Willump,20,Q,Consume,"Willump takes a bite out of a minion, monster, or enemy champion, dealing damage and healing himself.","Nunu asks Willump to take a bite of an enemy, dealing {{ monsterminiondamage }} true damage and restoring {{ monsterhealing }} Health when used against a minion or jungle monster. Against a champion, it instead deals {{ totalchampiondamage }} magic damage and restores {{ championhealing }} Health . The healing is increased by {{ lowhealthhealingscalar*100 }}% when Nunu and Willump are below {{ lowhealththreshhold*100 }}% Health.{{ spellmodifierdescriptionappend }}",12/11/10/9/8,60,125,{{ cost }} Mana,champions/Nunu/images/abilities/consume.png,champions/Nunu/images/abilities/consume.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/nunu/hud/icons2d/nunuq.png
Nunu & Willump,20,W,Biggest Snowball Ever!,Willump creates a snowball that grows in size and speed as he rolls it.  The snowball damages and knocks up enemies.,"Nunu and Willump create a snowball that grows in size and speed as they roll it. They turn slower while rolling it, but can increase turning speed by holding the turn. The snowball does between {{ noimpactsnowballdamage }} and {{ maximumsnowballdamage }} magic damage , and Knocks Up for between {{ baseknockupduration }} and {{ maximumstunduration }} seconds when it collides with a champion, large monster or wall. These values scale up with distance rolled. Nunu and Willump can Recast to let the snowball go early.{{ spellmodifierdescriptionappend }}",14,50/55/60/65/70,7500,{{ cost }} {{ abilityresourcename }},champions/Nunu/images/abilities/biggest_snowball_ever.png,champions/Nunu/images/abilities/biggest_snowball_ever.png,https://raw.communitydragon.org/latest/plugins/rcp-be-lol-game-data/global/default/assets/characters/nunu/hud/icons2d/nunuw1.png
